Choice situation,l2.speedl2,l2.pricel2,l3.speedl3,l3.pricel3,nocharge.soc,nocharge.detour
2,25,20,50,30,20,1
10,25,10,100,60,20,5
11,25,20,100,60,20,1
12,25,20,125,70,20,15
16,20,20,125,70,20,1
18,25,20,75,30,20,1
33,25,10,75,50,20,1
46,25,20,125,70,20,1
62,25,10,100,60,20,1
67,25,10,75,40,20,1
68,25,10,75,30,20,1
77,20,20,75,30,20,1
81,25,10,100,70,20,1
97,25,25,75,30,20,1
99,25,20,75,40,20,1
13,25,20,125,30,30,15
32,25,20,125,40,30,1
40,25,10,125,60,30,5
44,20,20,125,30,30,15
54,25,10,125,30,30,15
55,25,10,125,40,30,1
58,25,10,150,70,30,1
60,25,25,125,40,30,15
61,25,10,125,40,30,15
63,25,20,125,40,30,15
78,20,20,125,40,30,15
93,25,20,125,40,30,5
95,25,10,150,70,30,15
100,25,10,125,40,30,5
1,20,25,125,30,40,15
7,20,15,150,50,40,1
9,20,20,150,60,40,1
14,20,15,150,50,40,15
22,20,25,150,50,40,15
24,20,15,150,40,40,5
31,20,15,150,40,40,15
37,20,20,125,30,40,15
38,20,20,150,50,40,15
41,20,15,150,40,40,1
51,20,25,150,40,40,15
71,15,15,125,30,40,15
74,20,20,150,40,40,15
88,20,15,125,30,40,15
20,20,15,150,30,50,1
23,15,15,150,30,50,1
25,15,15,100,40,50,5
26,20,20,100,40,50,5
29,15,10,150,30,50,1
34,20,10,150,30,50,1
35,20,25,100,40,50,5
45,15,15,150,30,50,15
53,20,25,150,30,50,1
79,15,25,150,30,50,1
82,15,15,150,30,50,5
89,20,15,100,40,50,5
90,15,15,125,40,50,5
94,15,15,100,50,50,5
6,10,25,100,50,60,10
19,15,25,75,50,60,10
21,15,15,100,50,60,5
28,15,15,75,50,60,5
30,15,25,100,50,60,5
36,20,25,100,50,60,5
42,20,15,100,50,60,5
50,15,30,75,60,60,10
52,15,25,100,50,60,10
56,15,20,100,50,60,5
57,15,10,100,50,60,10
59,10,10,100,50,60,5
65,15,10,100,50,60,5
75,10,30,100,50,60,5
84,15,15,75,60,60,10
3,10,30,50,60,70,10
8,10,30,75,60,70,10
17,10,30,50,70,70,15
27,15,25,75,60,70,10
43,10,15,50,70,70,10
47,10,25,50,70,70,10
64,15,25,75,60,70,5
66,15,30,50,70,70,10
69,10,25,50,60,70,10
72,10,30,50,70,70,10
73,10,25,75,60,70,10
76,15,30,75,60,70,10
80,10,10,75,60,70,10
87,10,30,75,60,70,5
4,10,25,50,70,80,15
5,10,30,50,70,80,5
15,10,30,50,60,80,5
39,10,30,50,60,80,10
48,10,30,75,70,80,10
49,15,30,50,60,80,10
70,15,30,50,70,80,10
83,10,30,50,70,80,10
85,10,30,50,60,80,15
86,10,10,50,70,80,10
91,10,25,50,70,80,10
92,10,30,50,50,80,10
96,10,30,75,70,80,15
98,10,30,50,70,80,15
