Choice situation,l2.speedl2,l2.pricel2,l3.speedl3,l3.pricel3,nocharge.detour,Block
1,10,24,240,36,1,2
2,16,22,240,30,1,36
3,10,22,240,30,1,30
4,20,20,200,38,10,29
5,20,24,200,42,15,39
6,10,22,240,30,5,10
7,10,20,240,32,1,21
8,24,20,180,44,5,15
9,14,22,220,36,5,4
10,12,22,240,32,5,23
11,18,22,200,44,15,3
12,14,24,240,34,5,16
13,16,24,220,36,10,6
14,20,24,180,44,15,14
15,14,22,240,32,1,32
16,22,20,220,38,5,35
17,22,22,220,40,10,3
18,20,24,200,44,15,34
19,10,22,240,34,5,13
20,22,24,180,46,1,15
21,18,24,180,48,1,39
22,18,24,200,42,15,31
23,10,24,240,32,1,20
24,24,20,180,44,10,25
25,16,24,180,44,15,4
26,14,22,240,30,1,31
27,16,22,220,34,10,37
28,14,24,220,34,1,9
29,10,24,240,34,5,15
30,10,22,220,36,10,24
31,18,24,180,46,5,5
32,14,22,220,36,10,36
33,20,24,180,48,1,40
34,24,20,180,48,5,26
35,12,22,240,30,5,38
36,16,24,240,30,1,24
37,12,24,240,32,5,31
38,10,24,240,32,5,27
39,12,20,180,46,1,8
40,16,22,200,42,15,11
41,20,24,200,44,10,6
42,24,20,180,46,10,38
43,12,24,220,34,5,38
44,24,20,200,42,15,20
45,22,20,200,42,10,5
46,16,22,220,34,5,1
47,10,20,240,30,1,10
48,24,20,180,46,1,22
49,10,24,240,34,1,36
50,20,20,220,36,5,22
51,20,22,200,42,15,2
52,22,20,220,40,10,26
53,14,24,180,46,1,13
54,22,22,200,42,10,28
55,12,24,220,32,5,27
56,24,20,200,42,10,7
57,16,22,180,46,1,16
58,18,24,180,46,15,31
59,16,20,220,38,10,31
60,18,24,180,46,1,7
61,22,20,220,36,5,17
62,18,24,200,46,1,37
63,22,20,220,38,10,30
64,10,24,220,32,5,25
65,24,20,200,40,10,34
66,20,24,180,44,1,19
67,22,22,200,44,15,4
68,20,22,220,40,10,29
69,12,22,220,38,10,24
70,12,22,240,30,1,9
71,20,20,200,40,15,16
72,24,20,180,42,15,11
73,18,20,220,38,10,30
74,12,24,240,34,1,38
75,18,20,220,38,5,30
76,22,20,200,36,10,34
77,24,22,180,46,1,40
78,18,24,180,44,1,6
79,16,22,180,46,15,12
80,24,20,180,46,15,2
81,12,22,220,36,10,28
82,18,22,220,38,10,21
83,16,24,240,34,1,12
84,18,20,220,40,10,34
85,14,24,240,32,1,14
86,22,20,180,48,1,29
87,22,20,200,38,10,17
88,12,22,240,34,5,1
89,20,20,220,42,10,5
90,12,22,240,34,1,3
91,20,22,200,40,15,8
92,14,24,240,32,5,13
93,12,24,220,38,10,39
94,16,24,180,46,15,28
95,16,22,180,48,15,8
96,14,24,240,30,5,3
97,14,22,220,38,10,29
98,24,20,180,40,15,6
99,24,20,200,44,1,25
100,22,20,200,44,15,35
101,16,20,220,36,5,22
102,14,22,240,30,5,37
103,24,20,180,46,5,26
104,20,20,200,38,15,20
105,20,20,200,42,15,8
106,16,24,180,48,1,1
107,20,24,180,46,1,10
108,14,22,220,32,5,21
109,10,24,220,34,5,33
110,16,24,240,32,1,8
111,20,22,200,38,10,35
112,24,20,180,48,10,15
113,12,20,240,32,1,25
114,16,22,220,40,10,16
115,10,22,220,34,5,24
116,22,24,180,48,15,22
117,20,20,200,42,10,20
118,22,20,200,38,15,9
119,18,20,200,38,10,19
120,18,24,180,48,5,10
121,20,22,200,38,15,33
122,16,24,180,48,15,19
123,22,20,200,42,5,18
124,12,24,240,30,1,13
125,10,22,240,34,1,19
126,22,22,200,40,15,4
127,14,24,220,36,10,16
128,10,24,220,36,10,37
129,14,22,240,32,5,15
130,22,22,200,40,10,39
131,14,24,180,48,15,5
132,24,20,200,44,10,11
133,18,24,240,30,1,12
134,12,22,220,36,5,35
135,24,20,200,46,1,11
136,24,20,180,48,15,13
137,14,20,180,48,15,18
138,18,22,220,40,10,32
139,24,20,200,40,15,27
140,20,22,220,34,5,2
141,18,22,200,40,15,32
142,22,20,200,42,15,27
143,14,22,180,48,15,39
144,16,24,220,40,10,35
145,16,22,220,36,5,33
146,22,22,200,42,15,9
147,24,20,180,44,15,1
148,14,24,240,30,1,24
149,16,20,200,42,15,5
150,20,22,220,38,10,7
151,18,22,200,42,15,11
152,10,20,240,32,5,18
153,24,20,180,44,1,40
154,24,20,180,48,1,40
155,14,24,220,34,5,10
156,12,24,220,34,10,23
157,22,20,200,44,10,12
158,14,22,200,42,15,32
159,12,22,240,32,1,7
160,24,22,180,48,1,22
161,10,24,240,30,5,1
162,20,20,220,38,10,19
163,16,22,180,44,15,40
164,22,22,200,38,10,3
165,22,20,180,48,15,14
166,20,20,220,40,10,21
167,12,24,240,34,5,28
168,14,22,180,46,15,36
169,22,20,200,40,10,36
170,10,24,240,30,1,7
171,12,20,240,30,5,25
172,24,22,180,48,15,27
173,12,24,240,30,5,34
174,18,20,200,42,15,21
175,22,20,200,40,15,30
176,14,22,180,46,1,26
177,10,22,240,32,1,14
178,12,20,240,30,1,4
179,20,24,180,48,15,12
180,18,20,220,34,5,38
181,24,20,200,44,15,14
182,18,22,200,42,10,23
183,18,24,180,48,15,23
184,10,24,240,36,5,9
185,12,24,220,36,5,18
