Choice situation,charge.speedl3,charge.pricel3,charge.soc_level,charge.detour,nocharge.soc_level
1,100,10,10,10,10
2,75,25,40,1,40
3,150,15,40,10,40
4,125,10,25,10,25
5,150,10,10,10,10
6,75,20,60,5,60
7,150,20,10,15,10
8,100,15,40,15,40
9,100,25,10,15,10
10,150,30,40,10,40
11,75,15,10,1,10
12,50,25,60,5,60
13,125,25,60,15,60
14,75,15,25,1,25
15,100,30,10,1,10
16,150,25,40,10,40
17,150,25,25,10,25
18,50,15,60,15,60
19,75,15,60,10,60
20,125,10,25,5,25
21,100,15,60,5,60
22,50,30,25,1,25
23,75,20,40,10,40
24,150,25,40,5,40
25,50,20,25,10,25
26,50,10,40,1,40
27,50,20,60,5,60
28,125,15,25,1,25
29,100,30,25,5,25
30,75,30,60,5,60
31,50,20,60,15,60
32,100,15,60,15,60
33,125,10,25,15,25
34,125,10,10,15,10
35,75,30,60,15,60
36,125,25,40,15,40
37,75,30,10,1,10
38,100,20,40,5,40
39,100,25,60,15,60
40,150,30,40,5,40
41,150,25,10,10,10
42,50,15,25,1,25
43,150,10,25,1,25
44,50,30,60,10,60
45,125,25,25,15,25
46,100,25,25,1,25
47,50,10,25,15,25
48,100,20,10,5,10
49,150,10,40,5,40
50,75,20,40,1,40
51,50,30,10,5,10
52,125,20,10,10,10
53,75,30,60,1,60
54,150,10,60,15,60
55,75,20,10,10,10
56,50,10,10,5,10
57,125,20,40,10,40
58,125,30,10,5,10
59,100,15,25,1,25
60,125,15,40,1,40
