Choice situation,charge.speedl3,charge.pricel3,charge.detour,Block
1,300,25,5,1
2,240,30,1,5
3,300,30,10,6
4,100,10,15,4
5,100,15,1,8
6,150,15,1,8
7,50,20,5,1
8,240,25,1,6
9,50,15,1,3
10,240,20,5,5
11,240,15,5,8
12,300,25,10,6
13,50,10,5,7
14,100,10,1,7
15,300,30,5,1
16,150,10,5,4
17,300,15,10,2
18,50,10,15,5
19,150,10,10,2
20,50,20,1,3
21,100,25,10,4
22,150,10,15,1
23,150,25,15,6
24,300,20,10,8
25,150,30,10,3
26,100,25,5,4
27,300,20,5,2
28,50,10,1,2
29,150,30,1,4
30,100,25,1,7
31,240,15,10,1
32,100,15,15,7
33,300,30,15,8
34,240,25,15,2
35,240,20,10,6
36,50,15,15,5
37,240,30,15,5
38,50,20,10,3
39,150,30,5,3
40,100,20,15,7
